collection,encoder,training_transactions,training_tokens,registry_tokens,native_image_dimension,training_min,training_max,token_alignment_verified
BAYC,DINOv2,35206,5746,9366,1024,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,CLIP,35206,5746,9366,768,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,SigLIP2,35206,5746,9366,1024,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,SAM,35206,5746,9366,256,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,SDXL_VAE,35206,5746,9366,16384,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,DreamSim,35206,5746,9366,1792,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
BAYC,AIM,35206,5746,9366,1024,2022-01-01 00:03:36+00:00,2024-12-31 23:57:11+00:00,True
MAYC,DINOv2,95207,9568,12459,1024,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,CLIP,95207,9568,12459,768,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,SigLIP2,95207,9568,12459,1024,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,SAM,95207,9568,12459,256,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,SDXL_VAE,95207,9568,12459,16384,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,DreamSim,95207,9568,12459,1792,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
MAYC,AIM,95207,9568,12459,1024,2022-01-01 00:14:11+00:00,2024-12-31 20:04:11+00:00,True
