collection,encoder,family,metadata_dimension,idf_document_count,image_dimension,early_dimension,selected_config,pre2025_validation_transaction_rmse
BAYC,DINOv2,OLS,171,5746,1024,1195,{},1.387676331102934
BAYC,DINOv2,Ridge,171,5746,1024,1195,"{""alpha"": 10000}",1.3842925351149185
BAYC,DINOv2,ElasticNet,171,5746,1024,1195,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3836791732690015
BAYC,DINOv2,PLS,171,5746,1024,1195,"{""components"": 8}",1.3844097929802526
BAYC,DINOv2,LinearSVR,171,5746,1024,1195,"{""C"": 0.01, ""epsilon"": 0.2}",1.3863939024079168
BAYC,DINOv2,HistGradientBoosting,171,5746,1024,1195,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860598863018887
BAYC,DINOv2,XGBoost,171,5746,1024,1195,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3857136726548556
BAYC,DINOv2,LightGBM,171,5746,1024,1195,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3862563320328436
BAYC,CLIP,OLS,171,5746,768,939,{},1.3859956902925124
BAYC,CLIP,Ridge,171,5746,768,939,"{""alpha"": 10000}",1.3844126105220989
BAYC,CLIP,ElasticNet,171,5746,768,939,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3837881895613353
BAYC,CLIP,PLS,171,5746,768,939,"{""components"": 8}",1.384000948988104
BAYC,CLIP,LinearSVR,171,5746,768,939,"{""C"": 0.01, ""epsilon"": 0.2}",1.3858849978203942
BAYC,CLIP,HistGradientBoosting,171,5746,768,939,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.385993327062388
BAYC,CLIP,XGBoost,171,5746,768,939,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.385989364445842
BAYC,CLIP,LightGBM,171,5746,768,939,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860754493492944
BAYC,SigLIP2,OLS,171,5746,1024,1195,{},1.389758119116489
BAYC,SigLIP2,Ridge,171,5746,1024,1195,"{""alpha"": 1000}",1.3837488219153509
BAYC,SigLIP2,ElasticNet,171,5746,1024,1195,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.383636227506758
BAYC,SigLIP2,PLS,171,5746,1024,1195,"{""components"": 8}",1.383750027427579
BAYC,SigLIP2,LinearSVR,171,5746,1024,1195,"{""C"": 0.01, ""epsilon"": 0.2}",1.384358273515564
BAYC,SigLIP2,HistGradientBoosting,171,5746,1024,1195,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3856501217401893
BAYC,SigLIP2,XGBoost,171,5746,1024,1195,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3854887216412966
BAYC,SigLIP2,LightGBM,171,5746,1024,1195,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3859186419752252
BAYC,SAM,OLS,171,5746,256,427,{},1.3845757813616095
BAYC,SAM,Ridge,171,5746,256,427,"{""alpha"": 100}",1.383597396257674
BAYC,SAM,ElasticNet,171,5746,256,427,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.383662071733601
BAYC,SAM,PLS,171,5746,256,427,"{""components"": 32}",1.3835849252692864
BAYC,SAM,LinearSVR,171,5746,256,427,"{""C"": 0.01, ""epsilon"": 0.2}",1.3835343128780728
