collection,encoder,family,encoder_learner_selected_pre2025,overall_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,DINOv2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3836791732690015,5120,1498,0.27042916170559844,0.12272546648837837,0.2834535740321086,0.3194709364844748,0.2540555832880539,0.10726713709727234,0.13867196256032321,0.2737439007579036
BAYC,CLIP,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3837881895613353,5120,1498,0.2698577686859243,0.12259160937631967,0.28647837416170163,0.3194709364844748,0.25379001942506757,0.10714521316293298,0.14047171085518217,0.2737439007579036
BAYC,SigLIP2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.383636227506758,5120,1498,0.2683077511359053,0.12225672828491066,0.29465152991027665,0.3194709364844748,0.25322991897286995,0.10706927566317179,0.14426138665511812,0.2737439007579036
BAYC,SAM,LinearSVR,True,True,"{""C"": 0.01, ""epsilon"": 0.2}",1.3835343128780728,5120,1498,0.2651710113586901,0.12113415665046447,0.3110473414114948,0.3194709364844748,0.25252791492869336,0.10685743945183943,0.1489993678155198,0.2737439007579036
BAYC,SDXL_VAE,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3837712391627484,5120,1498,0.27112696001264314,0.12256545916314546,0.27975094100028863,0.3194709364844748,0.2546899241333477,0.10755138068407115,0.13436536429948398,0.2737439007579036
BAYC,DreamSim,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.9}",1.3840082063818522,5120,1498,0.27759753857677993,0.12511406837748024,0.24496251694149263,0.3194709364844748,0.25625045950163494,0.10782027896599533,0.1237250380882099,0.2737439007579036
BAYC,AIM,Ridge,True,False,"{""alpha"": 1000}",1.3836640539235259,5120,1498,0.2676832330861617,0.1219543863493558,0.2979312725774481,0.3194709364844748,0.2534046710373037,0.10734933204894152,0.14307990155382722,0.2737439007579036
MAYC,DINOv2,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",0.4023516919956543,13019,2492,0.2005214917325419,0.10905450179594947,0.32204083743155276,0.24353375185129997,0.16516956459984322,0.08951796273413727,0.25341076739411406,0.19115654080030414
MAYC,CLIP,PLS,True,True,"{""components"": 16}",0.4017962604615376,13019,2492,0.20066415775564417,0.1093695660815264,0.32107579229587935,0.24353375185129997,0.16589113312089115,0.09012352186475887,0.24687333999576955,0.19115654080030414
MAYC,SigLIP2,PLS,True,False,"{""components"": 32}",0.4018699789455712,13019,2492,0.200810974177634,0.10967849854346981,0.32008195574196063,0.24353375185129997,0.166108276874463,0.09035723891388903,0.24490043429818809,0.19115654080030414
MAYC,SAM,OLS,True,False,{},0.4018827551226397,13019,2492,0.19985388850837735,0.10873970544416159,0.3265476289730299,0.24353375185129997,0.16488234080472072,0.08987306090138217,0.25600509212025124,0.19115654080030414
MAYC,SDXL_VAE,ElasticNet,True,False,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",0.4019699300711379,13019,2492,0.20385070779736394,0.11056325730975064,0.29934193004310716,0.24353375185129997,0.16753926049810644,0.0907889941851148,0.2318343859263845,0.19115654080030414
MAYC,DreamSim,XGBoost,True,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4025738725068523,13019,2492,0.20656196666478482,0.11319390399693094,0.2805801763269897,0.24353375185129997,0.16785962797268744,0.09224657163057468,0.22889381464779468,0.19115654080030414
MAYC,AIM,ElasticNet,True,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",0.40238489360993074,13019,2492,0.20444544003383164,0.11126392864179074,0.29524764153093697,0.24353375185129997,0.16659545488692856,0.09013945815290524,0.24046468466066906,0.19115654080030414
