collection,encoder,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,DINOv2,OLS,35206,5746,0.8694669574878261,0.1639621490735848,0.01812256750162944,0.877454171372585,0.7702593520176705,0.11324384661372221,0.01109111635901916,0.7745667336219184
BAYC,DINOv2,Ridge,35206,5746,0.8594117488539045,0.1703727798089574,0.04070167262951507,0.877454171372585,0.769166690208885,0.11695499687694944,0.013894786466449816,0.7745667336219184
BAYC,DINOv2,ElasticNet,35206,5746,0.8563467552314626,0.1670989354643834,0.04753192655338423,0.877454171372585,0.7686274165763956,0.11673824546938279,0.015277046327312638,0.7745667336219184
BAYC,DINOv2,PLS,35206,5746,0.8589791075280995,0.1686267668832285,0.04166728110280338,0.877454171372585,0.7693010721141709,0.11713784695500808,0.013550189450006522,0.7745667336219184
BAYC,DINOv2,LinearSVR,35206,5746,0.8615331675719952,0.1638750794183808,0.03595985900264975,0.877454171372585,0.7686956466326365,0.11413767877188909,0.015102213415698507,0.7745667336219184
BAYC,DINOv2,HistGradientBoosting,35206,5746,0.8606930113153277,0.16050721163077808,0.03783918173300771,0.877454171372585,0.7677162862084069,0.10949298280351645,0.01761024233669306,0.7745667336219184
BAYC,DINOv2,XGBoost,35206,5746,0.8525724518906647,0.15556284639489165,0.055909330299426574,0.877454171372585,0.7660019426088939,0.10860645390014109,0.02199278112001679,0.7745667336219184
BAYC,DINOv2,LightGBM,35206,5746,0.856030198504088,0.15081962691664014,0.048235974175132146,0.877454171372585,0.7657029537859825,0.10525554324255969,0.02275611119264953,0.7745667336219184
BAYC,CLIP,OLS,35206,5746,0.8611477669636661,0.16399457517201604,0.036822178800759,0.877454171372585,0.7689449154834318,0.11403229967211968,0.01446335421060374,0.7745667336219184
BAYC,CLIP,Ridge,35206,5746,0.8592288238908081,0.16988761614659686,0.041110000619057896,0.877454171372585,0.7691325060403673,0.11684333164136228,0.01398243570595481,0.7745667336219184
BAYC,CLIP,ElasticNet,35206,5746,0.8565272665589982,0.16692434686883842,0.04713033830371827,0.877454171372585,0.7686255838729072,0.11663364255168278,0.015281742238495988,0.7745667336219184
BAYC,CLIP,PLS,35206,5746,0.8572518282019901,0.16577888647846728,0.04551753540796155,0.877454171372585,0.7688223940222417,0.11633395309182969,0.01477739431292513,0.7745667336219184
BAYC,CLIP,LinearSVR,35206,5746,0.8600885947405674,0.16487946620677943,0.03919005073020587,0.877454171372585,0.768684022304744,0.1151076780382378,0.015132000726962525,0.7745667336219184
BAYC,CLIP,HistGradientBoosting,35206,5746,0.8595620018564198,0.15947141183278477,0.0403662104854734,0.877454171372585,0.7674709872858858,0.10922158211517374,0.01823792382484224,0.7745667336219184
BAYC,CLIP,XGBoost,35206,5746,0.8540067061534448,0.157618442736704,0.05273023387282927,0.877454171372585,0.7662847791288875,0.10909460598452352,0.02127041421352649,0.7745667336219184
