collection,resampling,metric,comparison,candidate,reference,candidate_rmse,reference_rmse,delta_rmse_candidate_minus_reference,delta_rmse_ci95_low,delta_rmse_ci95_high,delta_rmse_ci97_5_low,delta_rmse_ci97_5_high,utility_percent,utility_ci95_low,utility_ci95_high,utility_ci97_5_low,utility_ci97_5_high,bootstrap_probability_candidate_lower_rmse,iterations
BAYC,paired_token_cluster,transaction_rmse,early_vs_late,early,late,0.25252791492869303,0.2529351287949796,-0.00040721386628655987,-0.0012720775532870528,0.0004473082676601899,-0.0014353270485947642,0.0005224331086715938,0.16099537783722925,-0.18234166208825153,0.5058124351233471,-0.2185064352333229,0.5794638813490564,0.8215,2000
BAYC,paired_token_cluster,transaction_rmse,early_vs_metadata,early,metadata,0.25252791492869303,0.2527552294447844,-0.00022731451609137032,-0.0008820905708753994,0.00038113760893178545,-0.0009612007547256879,0.00045995954590489,0.08993464411822517,-0.1526480196492623,0.3637812472159306,-0.184639566922702,0.40361611788319035,0.7495,2000
BAYC,paired_token_cluster,transaction_rmse,late_vs_metadata,late,metadata,0.2529351287949796,0.2527552294447844,0.00017989935019518954,-0.0004354792248596658,0.000813291120360221,-0.0004935015696288871,0.0009447690470358804,-0.07117532269870976,-0.3219292759338679,0.18358572650080315,-0.373796379907543,0.21084791946707884,0.29,2000
BAYC,paired_token_cluster,equal_token_rmse,early_vs_late,early,late,0.2651710113586901,0.26628583073085266,-0.0011148193721625677,-0.0033999544086672586,0.0007125045273557656,-0.0036892443167871477,0.0008860243346935112,0.4186551605479027,-0.2759738551943919,1.3477240502433252,-0.3389429760053192,1.4934983975777583,0.862,2000
BAYC,paired_token_cluster,equal_token_rmse,early_vs_metadata,early,metadata,0.2651710113586901,0.2664215105897506,-0.00125049923106052,-0.0029429587988243125,9.582227506781167e-05,-0.0031241000873324853,0.00023416607049566462,0.46936871887424375,-0.03777427807846797,1.1734362489476944,-0.09185761878722194,1.259809151620391,0.965,2000
BAYC,paired_token_cluster,equal_token_rmse,late_vs_metadata,late,metadata,0.26628583073085266,0.2664215105897506,-0.00013567985889795242,-0.0014856931535231594,0.0015128834656768838,-0.0016930055949019166,0.001879881773315371,0.05092676585971287,-0.6214146745172594,0.6120303798431138,-0.7558438954515156,0.7019827438351017,0.5975,2000
BAYC,paired_14day_calendar_block,transaction_rmse,early_vs_late,early,late,0.25252791492869303,0.2529351287949796,-0.00040721386628655987,-0.001419130163135381,0.0003346540781572702,-0.001550485534990159,0.00046180553624298115,0.16099537783722925,-0.14173481420990935,0.6864881027870556,-0.18586304540049506,0.7819850821020922,0.8375,2000
BAYC,paired_14day_calendar_block,transaction_rmse,early_vs_metadata,early,metadata,0.25252791492869303,0.2527552294447844,-0.00022731451609137032,-0.0009533013731575797,0.000267412836535318,-0.0010790442513398894,0.0003339455429656909,0.08993464411822517,-0.10149529879740019,0.4623492386182957,-0.12024878706067599,0.5442662602972987,0.7905,2000
BAYC,paired_14day_calendar_block,transaction_rmse,late_vs_metadata,late,metadata,0.2529351287949796,0.2527552294447844,0.00017989935019518954,-0.0003980426587439273,0.0008475199598020776,-0.0004980421752651966,0.0009484194959689977,-0.07117532269870976,-0.3781853344129917,0.17204666828319176,-0.46518644332625997,0.222189998740883,0.286,2000
MAYC,paired_token_cluster,transaction_rmse,early_vs_late,early,late,0.1658911331208916,0.16630525729434834,-0.0004141241734567369,-0.0018453796453211254,0.0009956789445697313,-0.002016782443830281,0.001143289676106136,0.2490144810778693,-0.556536607353145,1.1745442404595894,-0.6609501185980886,1.2971116676398255,0.715,2000
MAYC,paired_token_cluster,transaction_rmse,early_vs_metadata,early,metadata,0.1658911331208916,0.16747925531384955,-0.0015881221929579525,-0.0031937566600039585,-0.00016049282749845212,-0.0033463776787635994,3.0524058929278396e-05,0.9482500922170175,0.09223793128276482,1.9981414142781642,-0.018569307726207993,2.1676916581602534,0.983,2000
MAYC,paired_token_cluster,transaction_rmse,late_vs_metadata,late,metadata,0.16630525729434834,0.16747925531384955,-0.0011739980195012156,-0.002118826277381556,-0.0002465019257202236,-0.002254997387468937,-0.00012955260057321703,0.7009811557265343,0.15724472705708875,1.2090829057612589,0.0811921717219547,1.285680268384465,0.994,2000
MAYC,paired_token_cluster,equal_token_rmse,early_vs_late,early,late,0.2006641577556442,0.20272168077242195,-0.0020575230167777514,-0.004810069980889999,0.0007091681865179424,-0.005334454366516095,0.001143027796088875,1.0149496634686814,-0.3518181441199493,2.4754073558776897,-0.5850579153227731,2.695274137759701,0.931,2000
MAYC,paired_token_cluster,equal_token_rmse,early_vs_metadata,early,metadata,0.2006641577556442,0.2045401466546313,-0.003875988898987104,-0.007468983697091005,-0.00048592623508498465,-0.008048990577964713,-3.3908596515226586e-05,1.8949770802363615,0.2301863136160029,3.7909473986641746,0.0152491528510068,4.088998855320921,0.9875,2000
MAYC,paired_token_cluster,equal_token_rmse,late_vs_metadata,late,metadata,0.20272168077242195,0.2045401466546313,-0.0018184658822093525,-0.003366256352928281,-0.00032744680406801465,-0.0036329618039851116,1.3052472462012184e-05,0.8890508352278909,0.15113538383237937,1.6943064151399847,-0.006072217441275288,1.844409836013149,0.987,2000
MAYC,paired_14day_calendar_block,transaction_rmse,early_vs_late,early,late,0.1658911331208916,0.16630525729434834,-0.0004141241734567369,-0.0018646327803891983,0.0008320071872950834,-0.0020885713329314194,0.0009704388423946867,0.2490144810778693,-0.43919454688573484,1.252360044921364,-0.5220012731015102,1.3759230967563738,0.7405,2000
MAYC,paired_14day_calendar_block,transaction_rmse,early_vs_metadata,early,metadata,0.1658911331208916,0.16747925531384955,-0.0015881221929579525,-0.003433532828386593,-7.444235113623514e-05,-0.003744272937531392,0.00017752984888312818,0.9482500922170175,0.03952096761732558,2.2576714362654604,-0.10509855711432158,2.507550909992245,0.9795,2000
MAYC,paired_14day_calendar_block,transaction_rmse,late_vs_metadata,late,metadata,0.16630525729434834,0.16747925531384955,-0.0011739980195012156,-0.0022522741674269146,-0.00015088024495181073,-0.0024008861033586967,-2.2094362203713635e-05,0.7009811557265343,0.09349263294699389,1.3306546658996672,0.011384101424828088,1.4119951804810078,0.9875,2000
