collection,resampling,metric,model,reference,model_rmse,zero_rmse,delta_rmse_model_minus_zero,utility_percent,bootstrap_probability_model_lower_rmse,iterations,delta_rmse_ci95_low,delta_rmse_ci95_high,utility_ci95_low,utility_ci95_high,delta_rmse_ci97_5_low,delta_rmse_ci97_5_high,utility_ci97_5_low,utility_ci97_5_high,delta_rmse_ci99_375_low,delta_rmse_ci99_375_high,utility_ci99_375_low,utility_ci99_375_high
BAYC,paired_token_cluster,transaction_rmse,metadata,LRP_zero,0.2527552294447844,0.27374421755215766,-0.020988988107373263,7.6673722261819615,1.0,2000,-0.03559450919752059,-0.010401358266082303,3.802918010072188,13.249870164488284,-0.03838579429258472,-0.009563916870646212,3.5163871182039,14.216390582895027,-0.04299740448862628,-0.008101050120034571,2.959737468834108,15.918021327818618
BAYC,paired_token_cluster,transaction_rmse,image,LRP_zero,0.2575980919904653,0.27374421755215766,-0.01614612556169237,5.898252648429361,1.0,2000,-0.026760168247922413,-0.008043204395113312,2.89490223411204,9.943673379316957,-0.02893596827858099,-0.006991226392969968,2.5064831631260107,10.703682963929392,-0.03136559106386177,-0.005594232096033544,2.089517035330215,11.83766715236017
BAYC,paired_token_cluster,transaction_rmse,early,LRP_zero,0.25252791492869303,0.27374421755215766,-0.021216302623464633,7.75041124637535,1.0,2000,-0.036044103483345656,-0.0105347980912208,3.76272430060056,13.436584766056022,-0.03924149716695396,-0.009648153730244682,3.560863717099476,14.490916369767852,-0.04425410180004602,-0.0081784974109017,2.8597327075641736,16.231200263714943
BAYC,paired_token_cluster,transaction_rmse,late,LRP_zero,0.2529351287949796,0.27374421755215766,-0.020809088757178074,7.601654180407749,1.0,2000,-0.03535220931169137,-0.010317713065391773,3.7389187097605827,13.143981068621509,-0.038087249346811194,-0.009499259987081591,3.4440424477878633,14.146506160186487,-0.04340137704865969,-0.00790491204913065,2.894709298799902,15.927826901180653
BAYC,paired_token_cluster,equal_token_rmse,metadata,LRP_zero,0.2664215105897506,0.32173102771285605,-0.055309517123105445,17.191228808826303,1.0,2000,-0.09490681479572263,-0.025505959784271857,8.262038222549588,28.01570461691738,-0.10115795436679169,-0.02358951005148735,7.610137736361249,29.619725598603527,-0.11504778123742133,-0.020620220458149985,6.807139204378349,32.64939605021863
BAYC,paired_token_cluster,equal_token_rmse,image,LRP_zero,0.27644960678559294,0.32173102771285605,-0.045281420927263116,14.074309602391425,1.0,2000,-0.07217321657556555,-0.023126473446566882,7.409189252124774,21.696255967648028,-0.07813009315404505,-0.02046886921052111,6.6077703596270565,22.790977480568394,-0.08280044811027981,-0.017461145974692147,5.797900182910343,24.526028186847572
BAYC,paired_token_cluster,equal_token_rmse,early,LRP_zero,0.2651710113586901,0.32173102771285605,-0.056560016354165965,17.57990727728182,1.0,2000,-0.09680109338128356,-0.02609830290223667,8.578924812873309,28.739392384990847,-0.103822384943611,-0.024290447281328616,7.805639769992792,30.448385627720253,-0.11854581285345983,-0.021190334657614218,6.917987617664036,33.20570802398738
BAYC,paired_token_cluster,equal_token_rmse,late,LRP_zero,0.26628583073085266,0.32173102771285605,-0.0554451969820034,17.233400637842138,1.0,2000,-0.09468166687486163,-0.025845925995500823,8.464586694625012,28.200817901220546,-0.10145073140939008,-0.02399662005126484,7.688052261896499,29.57979836991616,-0.11584467452574217,-0.020817082677536368,6.860745209298047,32.52583132491301
BAYC,paired_14day_calendar_block,transaction_rmse,metadata,LRP_zero,0.2527552294447844,0.27374421755215766,-0.020988988107373263,7.6673722261819615,1.0,2000,-0.04556177837371768,-0.00787275312845128,2.585056530705642,18.12891251622281,-0.04971080067919868,-0.006710936255819532,2.159935168439319,19.808289281606402,-0.058189385247541345,-0.005087122821786433,1.597085346465584,25.070551185837097
BAYC,paired_14day_calendar_block,transaction_rmse,image,LRP_zero,0.2575980919904653,0.27374421755215766,-0.01614612556169237,5.898252648429361,1.0,2000,-0.03271970718767363,-0.005973071165181471,2.0238626206252928,13.375403639883094,-0.03549682463397663,-0.005172644758008437,1.664792843485856,14.523416349902517,-0.04210115187054473,-0.0035359346103490123,1.1164058122111924,17.926512682001995
BAYC,paired_14day_calendar_block,transaction_rmse,early,LRP_zero,0.25252791492869303,0.27374421755215766,-0.021216302623464633,7.75041124637535,1.0,2000,-0.046483138728480373,-0.007818123898256066,2.5386625372850444,18.431552398290425,-0.0507172919080742,-0.006606266475282053,2.150391073567652,20.217199124558412,-0.05928041591242298,-0.005136241033170768,1.5907992889441143,25.56494756458628
BAYC,paired_14day_calendar_block,transaction_rmse,late,LRP_zero,0.2529351287949796,0.27374421755215766,-0.020809088757178074,7.601654180407749,1.0,2000,-0.04535828281501947,-0.007583446188346806,2.5091516300224526,18.05065143698066,-0.04963490684515537,-0.00660135180174824,2.12979513738843,19.79969853022109,-0.05801565317667315,-0.004987280133463451,1.5603053293031706,25.037410205537217
MAYC,paired_token_cluster,transaction_rmse,metadata,LRP_zero,0.16747925531384955,0.19119015865646105,-0.0237109033426115,12.401738410195215,1.0,2000,-0.03055474149664386,-0.017072256112655053,8.19531967246351,16.999929756458897,-0.03133669670342272,-0.01591426318292542,7.610382890909197,17.541710378115898,-0.03293425955126415,-0.013731753218769278,6.641467259324415,18.56828804152947
MAYC,paired_token_cluster,transaction_rmse,image,LRP_zero,0.16803047113250189,0.19119015865646105,-0.023159687523959166,12.113430778397708,1.0,2000,-0.029352796684624316,-0.01769362375680084,8.634989658378261,16.30359240498061,-0.029989527199591217,-0.016888799953275396,7.96518092186576,16.752571751774557,-0.03127081809186452,-0.015085759103974153,6.967678528476819,17.767730439860372
MAYC,paired_token_cluster,transaction_rmse,early,LRP_zero,0.1658911331208916,0.19119015865646105,-0.025299025535569453,13.232389006501041,1.0,2000,-0.0326193562762893,-0.018175899830591955,8.707087105555273,18.188302179246094,-0.03353361030992993,-0.01697435850743581,8.15294287037911,18.64961108825036,-0.03474886439473305,-0.014583026926020487,7.0291895495940375,19.610076079401836
