collection,encoder,matrix_path,matrix_sha256,native_dimension,dtype,matrix_rows,registry_token_ids,duplicate_registry_token_ids,training_transactions,training_tokens,missing_training_tokens,row_alignment_verified,finite_matrix
BAYC,DINOv2,revision\dinov2_fullframe_features_20260909\bayc_features_dinov2_fullframe.npy,2aad264b6fe682c80f09778f13810cf41c0dfc6527a4551663dcf74d8e96deee,1024,float32,9366,9366,0,35206,5746,0,True,True
BAYC,CLIP,revision\dinov2_clip_features_20260909\bayc_features_clip_native.npy,068e091f2ac13c65ade0a442cce5a3dba07fdb2bfdfe110d756d1b233807e768,768,float32,9366,9366,0,35206,5746,0,True,True
BAYC,SigLIP2,revision\siglip2_features_20260909\bayc_features_siglip2.npy,622ad451e39686b42feec112438dd2706f11108b398a8eb59fea4d1a886a5f64,1024,float32,9366,9366,0,35206,5746,0,True,True
BAYC,SAM,revision\four_encoder_extension_20260917\pilot_output\full_sam\bayc_sam_features.npy,a847fbdec78aa0cf6fc24e292fc9fb1fd1c156863456507a7158b5ab44406504,256,float32,9366,9366,0,35206,5746,0,True,True
BAYC,SDXL_VAE,revision\four_encoder_extension_20260917\pilot_output\full_sdxl_vae\bayc_sdxl_vae_features.npy,570a1d2cd7f9ab02dcdb39c87f21e75a3f6895923a6718639859bfafaf9b82f1,16384,float32,9366,9366,0,35206,5746,0,True,True
BAYC,DreamSim,revision\four_encoder_extension_20260917\pilot_output\full_dreamsim\bayc_dreamsim_features.npy,e10c0937b5a91fd4612bbe844d3c99bd5ef83a5f8c8b2072304155e466f418f9,1792,float32,9366,9366,0,35206,5746,0,True,True
BAYC,AIM,revision\four_encoder_extension_20260917\pilot_output\full_aimv2\bayc_aimv2_features.npy,1924c2d59cfc5cc3588b3aec57e0b2f070245170ebeefc8e09755746ecc88761,1024,float32,9366,9366,0,35206,5746,0,True,True
MAYC,DINOv2,revision\dinov2_fullframe_features_20260909\mayc_features_dinov2_fullframe.npy,5ad2667067b13194d5aa03bbd5a7910c4845e48f5dd02b84174074d1037f132f,1024,float32,12459,12459,0,95207,9568,0,True,True
MAYC,CLIP,revision\dinov2_clip_features_20260909\mayc_features_clip_native.npy,32e436bacab173bb70a965f062e696dc532ee0187af53e401e4015e25815d299,768,float32,12459,12459,0,95207,9568,0,True,True
MAYC,SigLIP2,revision\siglip2_features_20260909\mayc_features_siglip2.npy,b75583be1014832ac2450268b1bf6a29f310b1c57232b6e694d7f33d341699c1,1024,float32,12459,12459,0,95207,9568,0,True,True
MAYC,SAM,revision\four_encoder_extension_20260917\pilot_output\full_sam\mayc_sam_features.npy,b0ba6fd87ebf3c91cd2683ba4a8c16f5aed307f5e675e768c4557179ba07b99b,256,float32,12459,12459,0,95207,9568,0,True,True
MAYC,SDXL_VAE,revision\four_encoder_extension_20260917\pilot_output\full_sdxl_vae\mayc_sdxl_vae_features.npy,4bccaede56f7707bd8733a1b3338fb39e5a4aa7c01d4a8a72a87be736def6606,16384,float32,12459,12459,0,95207,9568,0,True,True
MAYC,DreamSim,revision\four_encoder_extension_20260917\pilot_output\full_dreamsim\mayc_dreamsim_features.npy,9051a713056d309da3c6b10100405e8724b214c3153c5b1831becfb875276744,1792,float32,12459,12459,0,95207,9568,0,True,True
MAYC,AIM,revision\four_encoder_extension_20260917\pilot_output\full_aimv2\mayc_aimv2_features.npy,56171cc5ce8984e2cb3c675fb22fe7ada5eed033132ba60ccc2c46ba724c33fb,1024,float32,12459,12459,0,95207,9568,0,True,True
