collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,DINOv2,OLS,False,{},1.3859838816558887,5120,1498,0.2915212981609759,0.1310954787524543,0.16732050756869588,0.3194709364844748,0.26308105179003927,0.11400054441760459,0.07638657701024498,0.2737439007579036
BAYC,DINOv2,Ridge,False,"{""alpha"": 100}",1.3857821933986678,5120,1498,0.29370225922547355,0.13016453856277413,0.15481483646899863,0.3194709364844748,0.2631338353140193,0.11268177582548355,0.07601591966652144,0.2737439007579036
BAYC,DINOv2,ElasticNet,False,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3867944780883317,5120,1498,0.31280101985567904,0.13482930200111065,0.041320123930576824,0.3194709364844748,0.26931772209487576,0.11254768397559414,0.032076660704212556,0.2737439007579036
BAYC,DINOv2,PLS,True,"{""components"": 32}",1.3857625699374594,5120,1498,0.29499455718585255,0.13030583168882304,0.14736079788508682,0.3194709364844748,0.26327425496534346,0.11234349501554383,0.07502950040835477,0.2737439007579036
BAYC,DINOv2,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.1}",1.3858465126401518,5120,1498,0.2930810618417816,0.13040595949064088,0.1583862872474897,0.3194709364844748,0.26312101563790324,0.11301635063630762,0.07610594904710832,0.2737439007579036
BAYC,DINOv2,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3862686534561177,5120,1498,0.300743585090227,0.1324610212042637,0.1138034899068533,0.3194709364844748,0.2669819437279391,0.11431923876814683,0.048793349408810194,0.2737439007579036
BAYC,DINOv2,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.386326331992447,5120,1498,0.30472978993418554,0.1324673889465387,0.090155624048182,0.3194709364844748,0.2674366182191879,0.11259358865391648,0.045550750586994315,0.2737439007579036
BAYC,DINOv2,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3862494943961081,5120,1498,0.30101338933426375,0.13265674162953872,0.1122127206116742,0.3194709364844748,0.26728647719824644,0.11426564474551419,0.0466221203961622,0.2737439007579036
BAYC,CLIP,OLS,False,{},1.3861592923708186,5120,1498,0.30067534786684647,0.13161060569504474,0.11420559144360731,0.3194709364844748,0.2655203264468311,0.11271879082738959,0.05917977776444294,0.2737439007579036
BAYC,CLIP,Ridge,False,"{""alpha"": 100}",1.3860569309137443,5120,1498,0.3022112490808594,0.13172809497683935,0.10513289870629794,0.3194709364844748,0.26589722005103117,0.11244828745197948,0.05650698212204386,0.2737439007579036
BAYC,CLIP,ElasticNet,False,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1.3860673534977919,5120,1498,0.303056145254851,0.1316486022404159,0.1001223197168809,0.3194709364844748,0.2659114824205943,0.11201712087800249,0.05640576401234365,0.2737439007579036
BAYC,CLIP,PLS,True,"{""components"": 32}",1.385918045566209,5120,1498,0.3020491582177827,0.13187268467902857,0.1060925643874222,0.3194709364844748,0.26569701281701336,0.11247925495719438,0.05792725280783162,0.2737439007579036
BAYC,CLIP,LinearSVR,False,"{""C"": 1, ""epsilon"": 0.2}",1.3860342556979346,5120,1498,0.3007849311117415,0.13137615061241287,0.11355980578218261,0.3194709364844748,0.2654775735080562,0.11237595467922963,0.05948272700862578,0.2737439007579036
BAYC,CLIP,HistGradientBoosting,False,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.386114123187286,5120,1498,0.2983658842409659,0.13164923318307903,0.12776076656917856,0.3194709364844748,0.2660888713451726,0.11347217261329512,0.05514640510317259,0.2737439007579036
BAYC,CLIP,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3861111718961818,5120,1498,0.30243420256723397,0.1315087293486661,0.10381205220989309,0.3194709364844748,0.26632293840943655,0.11190164982609001,0.053483378926024505,0.2737439007579036
BAYC,CLIP,LightGBM,False,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3861414074135348,5120,1498,0.3027080768046398,0.13135955229826624,0.10218820199020773,0.3194709364844748,0.2664583249068344,0.1117098929968342,0.05252080211969967,0.2737439007579036
BAYC,SigLIP2,OLS,False,{},1.387090823378788,5120,1498,0.27666148804378066,0.1273178155607127,0.2500458592993522,0.3194709364844748,0.2572805440517068,0.11175311621904933,0.11666591688221073,0.2737439007579036
BAYC,SigLIP2,Ridge,False,"{""alpha"": 100}",1.3846483039990691,5120,1498,0.27970592546528195,0.12720935663363317,0.23344975990043237,0.3194709364844748,0.2574454477764061,0.11026181060008508,0.11553320968162728,0.2737439007579036
BAYC,SigLIP2,ElasticNet,True,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1.384563359861017,5120,1498,0.2773987639337276,0.12628212443608489,0.24604342402364776,0.3194709364844748,0.2565696208428266,0.10986895102831144,0.12154086827388522,0.2737439007579036
BAYC,SigLIP2,PLS,False,"{""components"": 32}",1.3846473149861585,5120,1498,0.2770283123010371,0.12695519326689136,0.24805581904880947,0.3194709364844748,0.2564936672945209,0.1104084568390546,0.122060900317004,0.2737439007579036
BAYC,SigLIP2,LinearSVR,False,"{""C"": 0.01, ""epsilon"": 0.2}",1.38479045911654,5120,1498,0.28289240793493964,0.12764592918743298,0.2158847958525455,0.3194709364844748,0.25848963969860755,0.11034256276298646,0.10834391160454926,0.2737439007579036
BAYC,SigLIP2,HistGradientBoosting,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860088002245823,5120,1498,0.2909314307944868,0.12854451904730205,0.170686803908617,0.3194709364844748,0.2621880745251705,0.11100853361642371,0.08264598664417333,0.2737439007579036
BAYC,SigLIP2,XGBoost,False,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3859593044884155,5120,1498,0.27759969750499586,0.12764137531703368,0.24495077275908161,0.3194709364844748,0.25927649686206333,0.11264564421410084,0.10290714558510994,0.2737439007579036
BAYC,SigLIP2,LightGBM,False,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3860690008550287,5120,1498,0.28230004157504396,0.12807968708187556,0.21916517489774556,0.3194709364844748,0.2602961973226474,0.11233749122838559,0.09583697273660308,0.2737439007579036
BAYC,SAM,OLS,True,{},1.3866622869522558,5120,1498,0.30298800728872927,0.13409624888914,0.10052692422892062,0.3194709364844748,0.26601412313694783,0.11266483633650197,0.055677176592777045,0.2737439007579036
BAYC,SAM,Ridge,False,"{""alpha"": 0.01}",1.386664314907666,5120,1498,0.30300095131083105,0.13408469026503292,0.10045006938457024,0.3194709364844748,0.2660125295901474,0.1126450362387724,0.05568849041392909,0.2737439007579036
