collection,encoder,family,native_dimension,analysis_dimension,selected_config,pre2025_validation_transaction_rmse
BAYC,DINOv2,OLS,1024,1024,{},1.3859838816558887
BAYC,DINOv2,Ridge,1024,1024,"{""alpha"": 100}",1.3857821933986678
BAYC,DINOv2,ElasticNet,1024,1024,"{""alpha"": 0.01, ""l1_ratio"": 0.5}",1.3867944780883317
BAYC,DINOv2,PLS,1024,1024,"{""components"": 32}",1.3857625699374594
BAYC,DINOv2,LinearSVR,1024,1024,"{""C"": 0.01, ""epsilon"": 0.1}",1.3858465126401518
BAYC,DINOv2,HistGradientBoosting,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3862686534561177
BAYC,DINOv2,XGBoost,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.386326331992447
BAYC,DINOv2,LightGBM,1024,1024,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3862494943961081
BAYC,CLIP,OLS,768,768,{},1.3861592923708186
BAYC,CLIP,Ridge,768,768,"{""alpha"": 100}",1.3860569309137443
BAYC,CLIP,ElasticNet,768,768,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1.3860673534977919
BAYC,CLIP,PLS,768,768,"{""components"": 32}",1.385918045566209
BAYC,CLIP,LinearSVR,768,768,"{""C"": 1, ""epsilon"": 0.2}",1.3860342556979346
BAYC,CLIP,HistGradientBoosting,768,768,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.386114123187286
BAYC,CLIP,XGBoost,768,768,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3861111718961818
BAYC,CLIP,LightGBM,768,768,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3861414074135348
BAYC,SigLIP2,OLS,1024,1024,{},1.387090823378788
BAYC,SigLIP2,Ridge,1024,1024,"{""alpha"": 100}",1.3846483039990691
BAYC,SigLIP2,ElasticNet,1024,1024,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1.384563359861017
BAYC,SigLIP2,PLS,1024,1024,"{""components"": 32}",1.3846473149861585
BAYC,SigLIP2,LinearSVR,1024,1024,"{""C"": 0.01, ""epsilon"": 0.2}",1.38479045911654
BAYC,SigLIP2,HistGradientBoosting,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}",1.3860088002245823
BAYC,SigLIP2,XGBoost,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",1.3859593044884155
BAYC,SigLIP2,LightGBM,1024,1024,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3860690008550287
BAYC,SAM,OLS,256,256,{},1.3866622869522558
BAYC,SAM,Ridge,256,256,"{""alpha"": 0.01}",1.386664314907666
BAYC,SAM,ElasticNet,256,256,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3873223014137597
BAYC,SAM,PLS,256,256,"{""components"": 64}",1.386693666724943
BAYC,SAM,LinearSVR,256,256,"{""C"": 1, ""epsilon"": 0.2}",1.3866639456324572
BAYC,SAM,HistGradientBoosting,256,256,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3868023013430755
BAYC,SAM,XGBoost,256,256,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3868228919581593
BAYC,SAM,LightGBM,256,256,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 31}",1.3870162944246796
BAYC,SDXL_VAE,OLS,16384,1024,{},1.3855900047562002
BAYC,SDXL_VAE,Ridge,16384,1024,"{""alpha"": 1000}",1.3845859017860909
BAYC,SDXL_VAE,ElasticNet,16384,1024,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3843807479674342
BAYC,SDXL_VAE,PLS,16384,1024,"{""components"": 8}",1.3852191826900222
BAYC,SDXL_VAE,LinearSVR,16384,1024,"{""C"": 0.01, ""epsilon"": 0.2}",1.3853327520966379
