collection,encoder,family,origin,end,valid,train_n,validation_n,training_min,training_max,training_row_sha256,validation_row_sha256,analysis_dimension,native_dimension,transaction_mse,transaction_rmse,equal_token_mse,equal_token_rmse,config,status,target_parameters,projection
BAYC,DINOv2,OLS,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.032790237809895574,0.18108074941830668,0.05679734484105914,0.23832193529144383,{},"{""converged"": true, ""finite"": true, ""n_iter"": [], ""seconds"": 0.48643009999068454, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03278924589397737,0.18107801052026548,0.056794877018828495,0.23831675773815927,"{""alpha"": 0.01}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.12154900003224611, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.032786783761223896,0.18107121185109437,0.05679019907400577,0.23830694298321603,"{""alpha"": 0.1}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.11437139997724444, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03276253824152747,0.18100424923610903,0.05674420294667364,0.23821041737647336,"{""alpha"": 1}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.11902149999514222, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03255249642611782,0.1804231039144317,0.056351568145480264,0.2373848523926501,"{""alpha"": 10}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.11360310000600293, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03171749890593643,0.17809407319149176,0.055005959665465946,0.23453349369645682,"{""alpha"": 100}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.11645339999813586, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03145732065038985,0.17736211729225002,0.05637221857148309,0.23742834407770924,"{""alpha"": 1000}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.13240030000451952, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03242477036771751,0.1800687934310593,0.06071983008301057,0.24641394052084506,"{""alpha"": 10000}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.11343550001038238, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03342619730667487,0.1828283274185783,0.0637197909315335,0.2524277935005048,"{""alpha"": 100000}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.1142206999938935, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,Ridge,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03397063364178045,0.1843112412246753,0.06512191591199981,0.2551899604451551,"{""alpha"": 1000000}","{""converged"": true, ""finite"": true, ""n_iter"": null, ""seconds"": 0.1129619000130333, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,False,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,,,,,"{""alpha"": 0.001, ""l1_ratio"": 0.1}","{""converged"": false, ""finite"": true, ""n_iter"": 20000, ""seconds"": 77.30102030001581, ""valid"": false, ""warnings"": [{""category"": ""ConvergenceWarning"", ""message"": ""Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 7.963e+01, tolerance: 2.917e-01""}]}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,False,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,,,,,"{""alpha"": 0.001, ""l1_ratio"": 0.5}","{""converged"": false, ""finite"": true, ""n_iter"": 20000, ""seconds"": 83.55596699996386, ""valid"": false, ""warnings"": [{""category"": ""ConvergenceWarning"", ""message"": ""Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 3.925e+00, tolerance: 2.917e-01""}]}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,False,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,,,,,"{""alpha"": 0.001, ""l1_ratio"": 0.9}","{""converged"": false, ""finite"": true, ""n_iter"": 20000, ""seconds"": 77.00770740001462, ""valid"": false, ""warnings"": [{""category"": ""ConvergenceWarning"", ""message"": ""Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 1.553e+00, tolerance: 2.917e-01""}]}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,False,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,,,,,"{""alpha"": 0.01, ""l1_ratio"": 0.1}","{""converged"": false, ""finite"": true, ""n_iter"": 20000, ""seconds"": 73.79099419998238, ""valid"": false, ""warnings"": [{""category"": ""ConvergenceWarning"", ""message"": ""Objective did not converge. You might want to increase the number of iterations, check the scale of the features or consider increasing regularisation. Duality gap: 8.671e-01, tolerance: 2.917e-01""}]}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03243350823986705,0.18009305439096493,0.06075104728578525,0.24647727539427494,"{""alpha"": 0.01, ""l1_ratio"": 0.5}","{""converged"": true, ""finite"": true, ""n_iter"": 1323, ""seconds"": 3.2982250999775715, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03291628861124111,0.1814284669263374,0.062180617968158575,0.24936041780555024,"{""alpha"": 0.01, ""l1_ratio"": 0.9}","{""converged"": true, ""finite"": true, ""n_iter"": 438, ""seconds"": 1.0528305000043474, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.0331263356549325,0.18200641652132074,0.06278046446443719,0.2505603010543314,"{""alpha"": 0.1, ""l1_ratio"": 0.1}","{""converged"": true, ""finite"": true, ""n_iter"": 326, ""seconds"": 0.8018763999571092, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03405215806194686,0.18453226834878192,0.06535350229627733,0.2556433106816553,"{""alpha"": 0.1, ""l1_ratio"": 0.5}","{""converged"": true, ""finite"": true, ""n_iter"": 10, ""seconds"": 0.07725830003619194, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
BAYC,DINOv2,ElasticNet,2024-04-01,2024-07-01,True,29019,3643,2022-01-01 00:03:36+00:00,2024-03-31 23:18:35+00:00,62d3f670c9681fbccd86f3ceb7f6f0aedf2a046b6f4da5c37e7c84feca590f4d,82e8fcafedb1dc06cd0cc6d906be19ef4942359e6fda0bfb3767731b8cf6945d,1024,1024,0.03418388204785511,0.18488883700173764,0.06561306252519031,0.25615046852424517,"{""alpha"": 0.1, ""l1_ratio"": 0.9}","{""converged"": true, ""finite"": true, ""n_iter"": 0, ""seconds"": 0.05608619999838993, ""valid"": true, ""warnings"": []}","{""center"": -0.014252022707201389, ""normalized_MAD"": 0.08531864517626224}",null
