collection,encoder,family,encoder_learner_selected_pre2025,selected_config,pre2025_validation_transaction_rmse,evaluation_equal_token_n_transactions,evaluation_equal_token_n_tokens,evaluation_equal_token_rmse,evaluation_equal_token_mae,evaluation_equal_token_r2,evaluation_equal_token_target_sd,evaluation_transaction_rmse,evaluation_transaction_mae,evaluation_transaction_r2,evaluation_transaction_target_sd
BAYC,DINOv2,PLS,True,"{""components"": 32}",1.3857625699374594,5120,1498,0.29499455718585255,0.13030583168882304,0.14736079788508682,0.3194709364844748,0.26327425496534346,0.11234349501554383,0.07502950040835477,0.2737439007579036
BAYC,CLIP,PLS,True,"{""components"": 32}",1.385918045566209,5120,1498,0.3020491582177827,0.13187268467902857,0.1060925643874222,0.3194709364844748,0.26569701281701336,0.11247925495719438,0.05792725280783162,0.2737439007579036
BAYC,SigLIP2,ElasticNet,True,"{""alpha"": 0.001, ""l1_ratio"": 0.5}",1.384563359861017,5120,1498,0.2773987639337276,0.12628212443608489,0.24604342402364776,0.3194709364844748,0.2565696208428266,0.10986895102831144,0.12154086827388522,0.2737439007579036
BAYC,SAM,OLS,True,{},1.3866622869522558,5120,1498,0.30298800728872927,0.13409624888914,0.10052692422892062,0.3194709364844748,0.26601412313694783,0.11266483633650197,0.055677176592777045,0.2737439007579036
BAYC,SDXL_VAE,ElasticNet,True,"{""alpha"": 0.01, ""l1_ratio"": 0.1}",1.3843807479674342,5120,1498,0.276449606785593,0.12630115950015214,0.25119412450076495,0.3194709364844748,0.2575980919904652,0.11055423348236357,0.11448406498835706,0.2737439007579036
BAYC,DreamSim,XGBoost,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",1.3849173632427434,5120,1498,0.2776936699863118,0.12957126264771002,0.24443949079722593,0.3194709364844748,0.2603755710397512,0.11413462341512756,0.0952854646990492,0.2737439007579036
BAYC,AIM,PLS,True,"{""components"": 32}",1.3848827790351361,5120,1498,0.2885845730412607,0.12797257838992993,0.18401248732480857,0.3194709364844748,0.26061612230400927,0.1102501004424922,0.09361302857450915,0.2737439007579036
MAYC,DINOv2,LightGBM,True,"{""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 31}",0.40378132713521414,13019,2492,0.21455657824463828,0.11722040080785981,0.22381481373596057,0.24353375185129997,0.17160251234631888,0.09451718876982566,0.19412263455465828,0.19115654080030414
MAYC,CLIP,HistGradientBoosting,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4034180249959489,13019,2492,0.21348383020735376,0.11745386488704149,0.23155701005286677,0.24353375185129997,0.17136047405492869,0.09439646428171021,0.19639434515713983,0.19115654080030414
MAYC,SigLIP2,XGBoost,True,"{""l2_regularization"": 10, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4036247853830565,13019,2492,0.21541324844049822,0.11718583313310574,0.21760421717320466,0.24353375185129997,0.17189104014167877,0.09424752560387652,0.19141039577520902,0.19115654080030414
MAYC,SAM,OLS,True,{},0.4041853378631517,13019,2492,0.21831455199589017,0.11776553965112149,0.1963868197607206,0.24353375185129997,0.1729331034862159,0.09381007798582365,0.18157677490975233,0.19115654080030414
MAYC,SDXL_VAE,PLS,True,"{""components"": 16}",0.40231386609974634,13019,2492,0.20494838326642728,0.1114032212299426,0.291775943558359,0.24353375185129997,0.16803047113250155,0.09140761481656641,0.2273233922810376,0.19115654080030414
MAYC,DreamSim,XGBoost,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.4034599806500718,13019,2492,0.2137749204023311,0.11748919419576248,0.22946000139182543,0.24353375185129997,0.17071445648109546,0.09470563814608292,0.20244200358413533,0.19115654080030414
MAYC,AIM,HistGradientBoosting,True,"{""l2_regularization"": 1, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.40370611248042654,13019,2492,0.2125470406588078,0.11644052085738807,0.2382862309931224,0.24353375185129997,0.17039193513415002,0.09373209145402193,0.20545272101111445,0.19115654080030414
