collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,DINOv2,OLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,OLS,0.1,6187,1.9145628534065215,1.3836772938104178
BAYC,DINOv2,OLS,0.2,6187,1.9148295774431991,1.3837736727670458
BAYC,DINOv2,OLS,0.3,6187,1.9152070778819121,1.3839100685672867
BAYC,DINOv2,OLS,0.4,6187,1.9156953547226618,1.384086469380675
BAYC,DINOv2,OLS,0.5,6187,1.916294407965448,1.3843028599137719
BAYC,DINOv2,OLS,0.6,6187,1.9170042376102705,1.384559221416791
BAYC,DINOv2,OLS,0.7,6187,1.9178248436571292,1.3848555316917102
BAYC,DINOv2,OLS,0.8,6187,1.9187562261060243,1.3851917651018664
BAYC,DINOv2,OLS,0.9,6187,1.9197983849569558,1.3855678925830217
BAYC,DINOv2,OLS,1.0,6187,1.9209513202099233,1.3859838816558883
BAYC,DINOv2,Ridge,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,Ridge,0.1,6187,1.9145308658501121,1.3836657348688346
BAYC,DINOv2,Ridge,0.2,6187,1.914760287728046,1.3837486360347555
BAYC,DINOv2,Ridge,0.3,6187,1.9150951714056832,1.383869636709211
BAYC,DINOv2,Ridge,0.4,6187,1.915535516883022,1.3840287268994895
BAYC,DINOv2,Ridge,0.5,6187,1.9160813241600647,1.384225893472617
BAYC,DINOv2,Ridge,0.6,6187,1.9167325932368104,1.3844611201607686
BAYC,DINOv2,Ridge,0.7,6187,1.9174893241132591,1.3847343875679765
BAYC,DINOv2,Ridge,0.8,6187,1.9183515167894112,1.3850456731781127
BAYC,DINOv2,Ridge,0.9,6187,1.9193191712652655,1.3853949513641464
BAYC,DINOv2,Ridge,1.0,6187,1.9203922875408233,1.385782193398668
BAYC,DINOv2,ElasticNet,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,ElasticNet,0.1,6187,1.9145052635468922,1.383656483216442
BAYC,DINOv2,ElasticNet,0.2,6187,1.9147771422315536,1.383754726182192
BAYC,DINOv2,ElasticNet,0.3,6187,1.9152225418258668,1.3839156556040064
BAYC,DINOv2,ElasticNet,0.4,6187,1.9158414623298299,1.3841392496168259
BAYC,DINOv2,ElasticNet,0.5,6187,1.9166339037434454,1.384425477858395
BAYC,DINOv2,ElasticNet,0.6,6187,1.9175998660667115,1.3847743014898535
BAYC,DINOv2,ElasticNet,0.7,6187,1.9187393492996285,1.3851856732220518
BAYC,DINOv2,ElasticNet,0.8,6187,1.9200523534421974,1.3856595373475395
BAYC,DINOv2,ElasticNet,0.9,6187,1.9215388784944176,1.3861958297781802
BAYC,DINOv2,ElasticNet,1.0,6187,1.9231989244562884,1.3867944780883317
BAYC,DINOv2,PLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,PLS,0.1,6187,1.9145357641971301,1.383667504929248
BAYC,DINOv2,PLS,0.2,6187,1.914767787293831,1.3837513459049755
BAYC,DINOv2,PLS,0.3,6187,1.915102975061982,1.383872456211909
BAYC,DINOv2,PLS,0.4,6187,1.9155413275015845,1.3840308260662348
BAYC,DINOv2,PLS,0.5,6187,1.9160828446126374,1.3842264426793174
BAYC,DINOv2,PLS,0.6,6187,1.9167275263951429,1.3844592902628603
BAYC,DINOv2,PLS,0.7,6187,1.9174753728490983,1.3847293500352689
BAYC,DINOv2,PLS,0.8,6187,1.918326383974505,1.385036600229216
BAYC,DINOv2,PLS,0.9,6187,1.919280559771363,1.385381016100395
BAYC,DINOv2,PLS,1.0,6187,1.9203379002396728,1.3857625699374596
BAYC,DINOv2,LinearSVR,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,LinearSVR,0.1,6187,1.914542283052094,1.3836698605708277
BAYC,DINOv2,LinearSVR,0.2,6187,1.9147845465105926,1.3837574016100482
BAYC,DINOv2,LinearSVR,0.3,6187,1.9151336961473768,1.3838835558483151
BAYC,DINOv2,LinearSVR,0.4,6187,1.915589731962447,1.384048312726997
BAYC,DINOv2,LinearSVR,0.5,6187,1.9161526539558038,1.3842516584623634
BAYC,DINOv2,LinearSVR,0.6,6187,1.9168224621274448,1.3844935760513462
BAYC,DINOv2,LinearSVR,0.7,6187,1.9175991564773724,1.3847740452786412
BAYC,DINOv2,LinearSVR,0.8,6187,1.9184827370055861,1.3850930427251398
BAYC,DINOv2,LinearSVR,0.9,6187,1.9194732037120852,1.3854505417776866
BAYC,DINOv2,LinearSVR,1.0,6187,1.9205705565968707,1.3858465126401518
BAYC,DINOv2,HistGradientBoosting,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,HistGradientBoosting,0.1,6187,1.9143449593349555,1.3835985542544325
BAYC,DINOv2,HistGradientBoosting,0.2,6187,1.9144597537458614,1.3836400376347389
BAYC,DINOv2,HistGradientBoosting,0.3,6187,1.9147512890045988,1.3837453844564753
BAYC,DINOv2,HistGradientBoosting,0.4,6187,1.9152195651111672,1.3839145801353374
BAYC,DINOv2,HistGradientBoosting,0.5,6187,1.9158645820655666,1.3841476012570215
BAYC,DINOv2,HistGradientBoosting,0.6,6187,1.9166863398677978,1.384444415593417
BAYC,DINOv2,HistGradientBoosting,0.7,6187,1.9176848385178609,1.3848049821248698
BAYC,DINOv2,HistGradientBoosting,0.8,6187,1.9188600780157552,1.3852292510684847
BAYC,DINOv2,HistGradientBoosting,0.9,6187,1.9202120583614803,1.38571716391242
BAYC,DINOv2,HistGradientBoosting,1.0,6187,1.9217407795550372,1.3862686534561175
BAYC,DINOv2,XGBoost,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,XGBoost,0.1,6187,1.9143751767968349,1.3836094740918894
BAYC,DINOv2,XGBoost,0.2,6187,1.9145170274385483,1.383660734225897
BAYC,DINOv2,XGBoost,0.3,6187,1.9148324576970226,1.3837747134909724
BAYC,DINOv2,XGBoost,0.4,6187,1.915321467572257,1.3839513963908765
BAYC,DINOv2,XGBoost,0.5,6187,1.915984057064252,1.3841907589144828
BAYC,DINOv2,XGBoost,0.6,6187,1.916820226173007,1.3844927685520814
BAYC,DINOv2,XGBoost,0.7,6187,1.917829974898523,1.3848573843174332
BAYC,DINOv2,XGBoost,0.8,6187,1.9190133032407992,1.385284556775538
BAYC,DINOv2,XGBoost,0.9,6187,1.9203702111998355,1.3857742280760728
BAYC,DINOv2,XGBoost,1.0,6187,1.921900698775633,1.3863263319924473
BAYC,DINOv2,LightGBM,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,DINOv2,LightGBM,0.1,6187,1.9143499143797187,1.383600344889997
BAYC,DINOv2,LightGBM,0.2,6187,1.9144673822956275,1.383642794327939
BAYC,DINOv2,LightGBM,0.3,6187,1.914759309519608,1.3837482825715117
BAYC,DINOv2,LightGBM,0.4,6187,1.9152256960516592,1.3839167952054268
BAYC,DINOv2,LightGBM,0.5,6187,1.9158665418917815,1.3841483092110403
BAYC,DINOv2,LightGBM,0.6,6187,1.9166818470399758,1.384442792982063
BAYC,DINOv2,LightGBM,0.7,6187,1.917671611496242,1.3848002063461147
BAYC,DINOv2,LightGBM,0.8,6187,1.9188358352605779,1.385220500592082
