collection,encoding,family,training_equal_token_n_transactions,training_equal_token_n_tokens,training_equal_token_rmse,training_equal_token_mae,training_equal_token_r2,training_equal_token_target_sd,training_transaction_rmse,training_transaction_mae,training_transaction_r2,training_transaction_target_sd
BAYC,one-hot,OLS,35206,5746,0.8603755274166728,0.16767727275834335,0.038548875489608614,0.877454171372585,0.7698338090643473,0.11731517833012009,0.012183493777925936,0.7745667336219183
BAYC,one-hot,Ridge,35206,5746,0.8589137252905145,0.1675676938324468,0.041813164867194996,0.877454171372585,0.7694496239333448,0.11726850221835515,0.013169186309611614,0.7745667336219183
BAYC,one-hot,ElasticNet,35206,5746,0.8580674131706063,0.16868421280559998,0.04370049206676485,0.877454171372585,0.7691971088051891,0.11741736596752625,0.01381678899225458,0.7745667336219183
BAYC,one-hot,PLS,35206,5746,0.8603755274166732,0.16767727275834354,0.038548875489607504,0.877454171372585,0.7698338090643475,0.11731517833012012,0.012183493777925603,0.7745667336219183
BAYC,one-hot,LinearSVR,35206,5746,0.8591012601084724,0.167914155051323,0.04139469906442528,0.877454171372585,0.7694108899048365,0.11761865660627394,0.013268537767034072,0.7745667336219183
BAYC,one-hot,HistGradientBoosting,35206,5746,0.8534205566978933,0.159169141307004,0.05403010917354001,0.877454171372585,0.7668072735267256,0.11097645849673289,0.01993525766854387,0.7745667336219183
BAYC,one-hot,XGBoost,35206,5746,0.853420551774376,0.15916913165098787,0.05403012008843788,0.877454171372585,0.7668072721276501,0.11097645561138732,0.01993526124489098,0.7745667336219183
BAYC,one-hot,LightGBM,35206,5746,0.8533394981343053,0.15959843197402937,0.05420979858559327,0.877454171372585,0.7668699148131872,0.11129304022551495,0.01977512610483989,0.7745667336219183
BAYC,TF-IDF,OLS,35206,5746,0.8569977507502774,0.16551066123071248,0.046083242066562,0.877454171372585,0.7690073743862031,0.11689003921873559,0.014303243814459798,0.7745667336219183
BAYC,TF-IDF,Ridge,35206,5746,0.8564241399402029,0.16611487716039172,0.04735977714245854,0.877454171372585,0.7688032265412962,0.11690181733107377,0.014826518792824261,0.7745667336219183
BAYC,TF-IDF,ElasticNet,35206,5746,0.856496933369338,0.16611954245566288,0.047197827257077773,0.877454171372585,0.7688257704793663,0.11688551875538952,0.01476874063889877,0.7745667336219183
BAYC,TF-IDF,PLS,35206,5746,0.8568382111672158,0.16571933414769524,0.046438373258012144,0.877454171372585,0.7689283722293206,0.11686082342766277,0.014505759869201662,0.7745667336219183
BAYC,TF-IDF,LinearSVR,35206,5746,0.8565286450377931,0.16638783702028798,0.047127271240400725,0.877454171372585,0.7687580704402486,0.11724943174064663,0.014942244859672438,0.7745667336219183
BAYC,TF-IDF,HistGradientBoosting,35206,5746,0.8570890207914489,0.16553031502667698,0.045880047465776785,0.877454171372585,0.7680806827026996,0.1136333255490856,0.016677438519445253,0.7745667336219183
BAYC,TF-IDF,XGBoost,35206,5746,0.853158832016648,0.15690815111062273,0.05461023511979357,0.877454171372585,0.7663415385985405,0.10920715870331832,0.021125417911529443,0.7745667336219183
BAYC,TF-IDF,LightGBM,35206,5746,0.8540067821244929,0.15925519251621045,0.05273006533766522,0.877454171372585,0.7667885146801917,0.11034189006584218,0.01998320885484406,0.7745667336219183
MAYC,one-hot,OLS,95207,9568,0.7311425181032937,0.1693364375355775,0.03037269074045268,0.7425054073221995,0.549047042522244,0.10875269145366798,0.016075996911516066,0.5535142152344569
MAYC,one-hot,Ridge,95207,9568,0.7311425180769898,0.16933643785281294,0.030372690810220204,0.7425054073221995,0.5490470424669205,0.10875269150564847,0.0160759971098019,0.5535142152344569
MAYC,one-hot,ElasticNet,95207,9568,0.7311460591810638,0.1693582537141914,0.03036329849765551,0.7425054073221995,0.5490485868092185,0.10875489030727695,0.016070462000875918,0.5535142152344569
MAYC,one-hot,PLS,95207,9568,0.7311476591466826,0.1693331675795604,0.03035905478447909,0.7425054073221995,0.5490463312003402,0.10875157580031987,0.01607854636971351,0.5535142152344569
MAYC,one-hot,LinearSVR,95207,9568,0.7311940696020838,0.1697261902907195,0.03023595268453838,0.7425054073221995,0.5490406571261826,0.10887542991752432,0.016098882775325563,0.5535142152344569
MAYC,one-hot,HistGradientBoosting,95207,9568,0.7293714328049219,0.16675210997280016,0.03506456047939166,0.7425054073221995,0.547641769634442,0.10625364323326375,0.021106211620651183,0.5535142152344569
MAYC,one-hot,XGBoost,95207,9568,0.7293714296370591,0.1667521049728683,0.035064568861357004,0.7425054073221995,0.5476417688759845,0.10625364229403732,0.02110621433209281,0.5535142152344569
MAYC,one-hot,LightGBM,95207,9568,0.7296412974290067,0.16714377127604305,0.03435038358187159,0.7425054073221995,0.5477726473740705,0.1064830071681492,0.020638275381145488,0.5535142152344569
MAYC,TF-IDF,OLS,95207,9568,0.7308488929312302,0.16890950580002617,0.03115133460162034,0.7425054073221995,0.5489620733960187,0.1086562226354104,0.01638051250757111,0.5535142152344569
MAYC,TF-IDF,Ridge,95207,9568,0.730848899849633,0.16890953211958434,0.031151316258881345,0.7425054073221995,0.548962074541025,0.10865622264030152,0.016380508404371108,0.5535142152344569
MAYC,TF-IDF,ElasticNet,95207,9568,0.7308920791605816,0.16902510463456485,0.031036831707038637,0.7425054073221995,0.5489762986294418,0.10867900020375885,0.016329534858013695,0.5535142152344569
MAYC,TF-IDF,PLS,95207,9568,0.7308488929312337,0.16890950579999156,0.031151334601611236,0.7425054073221995,0.5489620733960194,0.10865622263540345,0.016380512507568223,0.5535142152344569
MAYC,TF-IDF,LinearSVR,95207,9568,0.7309251643687679,0.1693129931248451,0.030949105831625356,0.7425054073221995,0.5489610056376302,0.10878233571982354,0.01638433888097046,0.5535142152344569
MAYC,TF-IDF,HistGradientBoosting,95207,9568,0.726732079417821,0.16032578237056322,0.04203548772915,0.7425054073221995,0.5459911741099986,0.10281092902092794,0.026998102428951953,0.5535142152344569
