collection,quarter_start,quarter_end,sample,transactions,strict_transactions,one_wei_transactions,metadata_rmse,early_rmse,late_rmse,early_minus_metadata_rmse,late_minus_metadata_rmse,frozen_late_image_weight,same_quarter_optimal_image_weight_descriptive,quarter_metadata_winner,quarter_early_winner
BAYC,2024-04-01,2024-07-01,all,3643,3279,0,0.17788059604429043,0.17618768027387324,0.17642965509623787,-0.0016929157704171915,-0.0014509409480525648,0.2,0.5,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""LightGBM"", ""config"": {""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}, ""same_quarter_selected_rmse"": 0.17590198904572935, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""AIM"", ""family"": ""XGBoost"", ""config"": {""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}, ""same_quarter_selected_rmse"": 0.17466501333575468, ""valid_candidates"": 406}"
BAYC,2024-04-01,2024-07-01,strict,3279,3279,0,0.18233034752747643,0.18051748655652,0.18080977991070146,-0.0018128609709564258,-0.0015205676167749649,0.2,0.5,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""LightGBM"", ""config"": {""l2_regularization"": 1, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}, ""same_quarter_selected_rmse"": 0.17590198904572935, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""AIM"", ""family"": ""XGBoost"", ""config"": {""l2_regularization"": 10, ""learning_rate"": 0.05, ""max_leaf_nodes"": 15}, ""same_quarter_selected_rmse"": 0.17466501333575468, ""valid_candidates"": 406}"
BAYC,2024-07-01,2024-10-01,all,1150,1048,6,3.1740301307795513,3.1740359947767636,3.174127747653245,5.863997212252059e-06,9.761687369369554e-05,0.2,0.0,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""LinearSVR"", ""config"": {""C"": 0.01, ""epsilon"": 0.2}, ""same_quarter_selected_rmse"": 3.173933624210083, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""AIM"", ""family"": ""PLS"", ""config"": {""components"": 32}, ""same_quarter_selected_rmse"": 3.173819057537861, ""valid_candidates"": 407}"
BAYC,2024-07-01,2024-10-01,strict,1048,1048,0,0.3386751905743752,0.33785477352848553,0.33904486051781707,-0.0008204170458896431,0.0003696699434418971,0.2,0.0,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""LinearSVR"", ""config"": {""C"": 0.01, ""epsilon"": 0.2}, ""same_quarter_selected_rmse"": 3.173933624210083, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""AIM"", ""family"": ""PLS"", ""config"": {""components"": 32}, ""same_quarter_selected_rmse"": 3.173819057537861, ""valid_candidates"": 407}"
BAYC,2024-10-01,2025-01-01,all,1394,1284,0,0.3208759489981063,0.3216103433621436,0.3202330301095146,0.0007343943640373274,-0.0006429188885916925,0.2,0.2,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""Ridge"", ""config"": {""alpha"": 1}, ""same_quarter_selected_rmse"": 0.32069898364477495, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SigLIP2"", ""family"": ""Ridge"", ""config"": {""alpha"": 1000}, ""same_quarter_selected_rmse"": 0.3194769279222782, ""valid_candidates"": 407}"
BAYC,2024-10-01,2025-01-01,strict,1284,1284,0,0.3248228041777033,0.3254524738886974,0.32425440206382666,0.0006296697109940963,-0.0005684021138766537,0.2,0.2,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""Ridge"", ""config"": {""alpha"": 1}, ""same_quarter_selected_rmse"": 0.32069898364477495, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SigLIP2"", ""family"": ""Ridge"", ""config"": {""alpha"": 1000}, ""same_quarter_selected_rmse"": 0.3194769279222782, ""valid_candidates"": 407}"
MAYC,2024-04-01,2024-07-01,all,10092,8099,0,0.21997373862027794,0.21871738903092172,0.21928487202440008,-0.0012563495893562204,-0.0006888665958778573,0.4,0.7000000000000001,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""ElasticNet"", ""config"": {""alpha"": 0.01, ""l1_ratio"": 0.5}, ""same_quarter_selected_rmse"": 0.2185180691341291, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SDXL_VAE"", ""family"": ""ElasticNet"", ""config"": {""alpha"": 0.01, ""l1_ratio"": 0.5}, ""same_quarter_selected_rmse"": 0.21838163047043951, ""valid_candidates"": 411}"
MAYC,2024-04-01,2024-07-01,strict,8099,8099,0,0.2024221693034477,0.2007968205866913,0.20180715948973274,-0.001625348716756403,-0.0006150098137149562,0.4,0.7000000000000001,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""ElasticNet"", ""config"": {""alpha"": 0.01, ""l1_ratio"": 0.5}, ""same_quarter_selected_rmse"": 0.2185180691341291, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SDXL_VAE"", ""family"": ""ElasticNet"", ""config"": {""alpha"": 0.01, ""l1_ratio"": 0.5}, ""same_quarter_selected_rmse"": 0.21838163047043951, ""valid_candidates"": 411}"
MAYC,2024-07-01,2024-10-01,all,2495,2198,0,0.1927809540897229,0.1884515435950395,0.19137151102953684,-0.004329410494683411,-0.0014094430601860608,0.4,0.6000000000000001,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""PLS"", ""config"": {""components"": 16}, ""same_quarter_selected_rmse"": 0.1883037007723422, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SigLIP2"", ""family"": ""PLS"", ""config"": {""components"": 16}, ""same_quarter_selected_rmse"": 0.18816006305432956, ""valid_candidates"": 411}"
MAYC,2024-07-01,2024-10-01,strict,2198,2198,0,0.19091427406719932,0.18647090904317476,0.18938249303556948,-0.004443365024024565,-0.0015317810316298475,0.4,0.6000000000000001,"{""encoder_or_encoding"": ""TF-IDF"", ""family"": ""PLS"", ""config"": {""components"": 16}, ""same_quarter_selected_rmse"": 0.1883037007723422, ""valid_candidates"": 59}","{""encoder_or_encoding"": ""SigLIP2"", ""family"": ""PLS"", ""config"": {""components"": 16}, ""same_quarter_selected_rmse"": 0.18816006305432956, ""valid_candidates"": 411}"
